,term,value,variants
0,месторождение,0.3016227599247097,"пякяхинский месторождение, хальмерпаютинский месторождение, салекаптский месторождение, месторождение сортымский"
1,свита,0.21867650094541455,"мегионский свита, сортымский свита, свита пякяхинский, тангаловский свита"
2,порода,0.18097365595482584,"изменение порода, рассматривать порода, объём порода, порода коллектор"
3,минерал,0.16589251795859036,"минеральный, глинистый минерал"
4,отложение,0.1583519489604726,"отложение большехетский, отложение большехетский впадина, нижнемеловой отложение, преобразование отложение"
5,сортымский,0.13573024196611938,"сортымский свита, месторождение сортымский, месторождение сортымский свита, сортымский свита пякяхинский"
6,процесс,0.12064910396988389,
7,хальмерпаютинский,0.12064910396988389,"хальмерпаютинский месторождение, северо хальмерпаютинский, северо хальмерпаютинский месторождение"
8,цеолит,0.12064910396988389,цеолитовый
9,пякяхинский,0.12064910396988389,"пякяхинский месторождение, свита пякяхинский, свита пякяхинский месторождение, сортымский свита пякяхинский"
10,образование,0.10556796597364841,"преобразование, литосфера постседиментационный преобразование, преобразование отложение, преобразование отложение большехетский"
11,зерно,0.09802739697553066,
12,большехетский,0.09048682797741292,"большехетский впадина, отложение большехетский, отложение большехетский впадина, большехетский впадина западный"
13,большехетский впадина,0.09048682797741292,"отложение большехетский впадина, большехетский впадина западный"
14,разрез,0.09048682797741292,нижний разрез
15,впадина,0.09048682797741292,"большехетский впадина, отложение большехетский впадина, большехетский впадина западный, впадина западный сибирь"
16,пякяхинский месторождение,0.09048682797741292,свита пякяхинский месторождение
17,изменение,0.08294625897929518,"изменение порода, вторичный изменение"
18,аутигенный,0.08294625897929518,
19,полевой,0.08294625897929518,полевой шпатовый
20,образовать,0.07540568998117743,
21,связать,0.07540568998117743,
22,заполярный,0.07540568998117743,
23,сибирь,0.07540568998117743,"западный сибирь, впадина западный сибирь"
24,агрегат,0.07540568998117743,
25,кальцит,0.07540568998117743,
26,анализ,0.07540568998117743,рентгеноструктурный анализ
27,мегионский,0.07540568998117743,мегионский свита
28,тангаловский,0.06786512098305969,"тангаловский свита, покурский тангаловский"
29,полевой шпатовый,0.06786512098305969,
